document	label
주연 여배우..연기를 보면 겁을 먹은 건지 그냥 아무 생각이 없는 건지	0.0
역시 청춘영화는 일본이 최고다. 영화도 재밌지만 드라마워터보이즈는 정말 후유증 생길정도로 재밌었다	1.0
기대했던 만큼 재밍있었습니다	1.0
삼류 중국역사드라마 보는줄~~볼거리라곤 전쟁신~배우는괜찮은데 감독이 에러 보지마!	0.0
상당히 재밌게 봤습니다	1.0
엉성한 자막과 잘못 짤린 장면들로 전체적 내용 이해가 힘들었음&지루했음	0.0
해리포터도 책 먼저 보고 영화보면 너무나도 생략된 스토리에 실망하듯이식객도 책 먼저 보니깐 재미가 하나도 없네요	0.0
비디오테잎으로 좍좍 감아가며 봤던 영화. 가장 슬펐던 영화	1.0
나올게 없으니 모기 까지 나오네 새로나온 뉴히어로 모기 영웅	0.0
OO같은감독새끼 무슨오즈의마법사냐 마지막철통에서 나오는새끼 감독새끼임미친놈	0.0
극장가서 안본 내머리를 깨버리고싶네요. 제인생 최고의 영홥니다. 키이라작품 중에서도 최고일듯. 알럽키이라♡♡	1.0
인생이란 ... 허허 ...	1.0
크리스틴크룩만으로 5점을 주는 영화... 내용은 -5점....	1.0
죽은시인의 사회 보다 이게 더 대박입니다 .개감동 ㅜㅜ 코렌의죽음 너무 슬펐고 후반부의감동은 역대급이군요	1.0
내용이 약간 우울할 순 있지만, 영상이 아름답고 볼 만 합니다.	0.0
그때 봤을때도 재미있었고 지금봐도 재밌는영화 가장좋아하는 애니메이션	1.0
딱히 흠잡을 것도 두근거릴 것도 없는 교과서적 플레이.	0.0
아이들이 둘이나 있어서 지난 몇년간 극장에서 개봉한 애니는 다 보았는데 정말 애들데리고 나오고 싶었음	0.0
헐 창피하게 왜그래요 인스피릿님... 비스트영화도 보러갔었는데 재밌었는데...같은인스ㅍ끼리 그러지마요;;	1.0
솔직히 그냥 절에 있지 서울 왜왔냐 ㅠㅠ	0.0
졸잼	1.0
꼬꼬마시절 봤던건데 로봇 나오고 이제 찾았다 표절왕 김청기 감독작품이였구나 김청기 감독 작품중 로봇 나오는거 중에 유일무이 오리지널 로봇 디자인이지 싶다	1.0
그저그런 거품 영화 ,,, 밑에분 댓글 공감ㅋㅋㅋ	0.0
참 감동적이넴	1.0
역시 1편만한 후속작은 없는것 같다	0.0
OO존나결말 개코미디네 존트라볼타는 대체 뭐지?	0.0
주성치 나오는 줄 알고 언제 나오나 기다렸었다. 흠 젠장. ㅡ,.ㅡ;;;	0.0
재밌따!!	1.0
헉 더이상말이필요없는영화	0.0
쓰레기 시간이 아까워 죽을거 같다	0.0
비슷한 시기의 무협액션물과 비교했을 때 그냥 쓰레기. 진짜 허접 그 자체 CG와 스토리. 장만옥과 왕조현 출연으로 남자 관객들을 혹하게 하지만 진짜 개실망. 그래도 개인적으로 왕조현보다 장만옥이 매력적이라 느껴짐	0.0
ㄱ냥 매번 긴장되고 재밋음ㅠㅠ	1.0
천정명과 온주완의 매력이 넘치다는걸 느껴지게 만든 영화였습니다.	1.0
아 츠무구만 없어지면 별 5개줄게	0.0
[ 스토리 10, 비주얼 10, 연출 10, 연기 9 ] 역사상 가장 위대한 판타지의 서막. 영상미와 캐릭터에 취해 지루할 틈이 없다.	1.0
뭐야 대중을 공감시켜야지 감독지혼자만 공감하냐	0.0
왜 이리 평점이 낮지ㅜㅜ 재밌었는데	1.0
진정 자신이 하고 싶은 일과 현실의 갈등... 오늘날의 우리의 청춘의 고민과 똑같네요... 춤 동아리를 들면서 취업동아리를 들어야 하나 고민했던 저에게 너무나 큰 공감이 되었어요!!	1.0
평론가 말믿고 기대없이 봤다가 잘만든 영화란걸 알았네요. 현실적인 영화가 아니라 요즘 시대 회사원들의 현실을 그대로 반영한 영화입니다. 살인청부라는 소재는 회사라는 전쟁터를 빗댄 여러 키워드 중 하나일 뿐이구요.	1.0
너무 시대를 앞서 개봉해 악평받는 영화중 하나 요즘같은 일일막장드라마가 트렌드인 시대 쪽대본드라마라는 장르가 가지는 스피디함과 돌발성이 극안의 극으로 표현되어졌다 뭣보다 보기만해도 유쾌해지는 황보라씨도 좋았고 이종혁씨는 캐릭터가 너무 잘맞아좋았다	1.0
영화든 애니든 일단 브랜드하고 광고로 먹어준다. 이런 숨은 명작은 많은 이가 보고 감동을 받아야 함. 본 건 5년 전인데... 다시 보고 또 감동 받아서 평 씀.	1.0
귀신을 캐스팅한 태국전통 홍보영화. 세계가 주목했던 태국공포도 이젠 한물 갔나?	0.0
데이빗 린치를 좋아하는 사람에겐 필추. 물론 TV드라마를 먼저 보고 봐야..	1.0
쓰렉	0.0
김기덕 따라하기에만 바쁜 영화. 많은 것을 담으려 했으나 작가의 질떨어진 사고수준만 담았을 뿐 무엇 하나 담지 못했다.	0.0
보다가 지루해서 토요명화 봤음..ㅡㅡ	0.0
마이클 더글러스의 흑역사	0.0
오, 의외로 스토리가 탄탄한데요? 저도 통크게 10점 드립니다^^	1.0
말도 안되고, 억지인건 알지만그랬기때문에 보기 즐거웠고 좋았다.	1.0
잘봤습니다 굳굳 러셀크로우때문에 봤는데 역시 두배우 다 최고	1.0
이것도 후한 점수인것 같다.	0.0
쓰레기다 솔직히...	0.0
이거 너무 좋아	1.0
재미없다는애들은 영화를 이해하긴햇나? 내용 맞물리는거보면 작가 ㅈㄴ천재같음	1.0
미루다 미루다가 이제 봤네요 볼만합니다.	1.0
제목만 보고 편견가지지 마시길! 훈훈한 미소를 짓게 만드는 성장영화	1.0
무슨 말이 필요할지... 최고의 미드	1.0
나도 걸릴 줄 알았죠?	0.0
재미만있구만 ㅋ뭔작품성따지고보냐 ㅋㅋ	1.0
진짜 죽기전에 꼭 봐야될꺼같은영화임 ㅠㅠㅠ 대바규ㅠㅠㅠㅠ..내가 난지 햇갈린다	1.0
땀과 노력의 무게가 느껴져 더욱 멋있고 감동적이었습니다. 앞으로도 계속 응원하겠습니다!	1.0
림프비즈킷의 OST만 10점. 개봉 당시 극장에서 봤는데 영화내내 오우삼 쥑이고 싶었던ㅋㅋ	0.0
지루할 틈이 없다!!!!	1.0
퀸틴 타란티노의 포룸을 어줍잖게 패러디한 졸작	0.0
흔한 동물영화인가했는데, 참 좋은영화! 이런영화는 영화관에서 왜 안해요?	1.0
재미있었는데	1.0
나에결혼원정기랑흡사한내용이나 과장된면이없내요잔잔하다가마지막에해피엔딩	1.0
지루하고 촌티나며 다소 루즈하다.그러나 항상 늘 그렇듯 공리의 연기는 언제나 최고.	0.0
보면서 긴장을 풀수없었음 시온과 마지막에 테라라 캐릭터도 맘에들었고 전세계를 배경으로해서 블록버스터감임 케로로 극장판중에최고! 케로로계의 타이타닉감!ㅋㅋㅋㅋ	1.0
어줍잖지는 않다.	0.0
더빙이 문제가 아냐;;;; 내용이랑 그래픽이 전체적으로 글러먹었어	0.0
우아한 공포영화를 본거같다	1.0
sunday booldy sunday........., 고결한 신사들께서 무슨 짓을 하셧을까?	1.0
지루하다...스티븐 마틴 그냥 코메디 찍으세요...	0.0
더빙이 똥이야 ....	0.0
유치짬뽕이네!!. 딱 초등3학년 영화다. 초등학교 자녀 있는 가족분께 추천함!!	0.0
1점도 아까운 쓰레기 초반 20분동안 떠들기만하고 이런 영화를 왜 핸드카메라로 찍는지 정신사나워서 집중도 안되는데 내용도 없음.인간들 떠드는게 다다 괴물영화 개뿔	0.0
허접허접허접허접허접허접	0.0
ㅋ	1.0
싸구려 왜색 영화, 키작고 교활한 일본원숭이들의 망상, 사무라이 정신..토나온다...	0.0
1%라도 기대했던 내가 죄인입니다 죄인입니다....	0.0
와 정말 대단한 영화다 돈이 썩어나서 만든영화 초딩이 만들었나?ㅋㅋ	0.0
윤제문이라는 멋진 배우를 발견하게 됐어요. 소소한 일탈이 잔잔한 미소를 머금게 합니다. 음악은 조금 아쉽네요ㅠㅠ 8점 주고 싶은데 평점 올리고 싶어 10점 줄게요^^	1.0
평점이 너무 낮다	1.0
청국장!!!!	1.0
초반에 개재미없었는데 볼수록 점점 재밌어짐! 외계인이 내가 알던 에일리언에 나오던 외계인이 아니야....	1.0
난 또 내가 몰랐던 영화인줄 알았건만..	0.0
이런 훼이크 다큐 장르의 영화는 무엇보다 감독의 연출력, 촬영기술이 중요한데 보는 내내 어설픈 스토리의 짜임새, 오버 혹은 못미치는 배우들의 연기력이 영화의 몰입도를 떨어트린다. 전체적으로 다큐의 '그럴만한' 요소 혹은 공감이 전혀 느껴지지 않는다.	0.0
짱이야~~	1.0
정말 오랫만에 다시 보게되었다. 나이가 먹으니 오히려 더 공감이 가는듯... 좋은 작품은 이렇게 오랜시간이 흘러도 공감을 줄수있는 작품이 아닐까?	1.0
10점밖에 주지 못한다는게 아쉽다.	1.0
눈물나다.	0.0
그시대그시절의 청춘상. 아련하고 우습고 짠하다	1.0
장면장면모두예쁘다.사랑스럽다.소장하고싶다.	1.0
정말 괜찮네요! 간만에 심하게 공감한 '가족' 영화 였습니다!	1.0
이준땜에 2점 준다. 연기고 대본이고 OO이고 전체적인 퀄리티가 빵점. 이준이 살렸다 정지훈이는 빠순이들 고생많다 평점 올려주느라	0.0
영화 스토리 흐름상 지루하지않고 일본영화는 정말 신기하다	1.0
kl2g 고추를 털어버려야 할텐데	1.0
영어교과서에도 나오는 엠페러 펭귄에 대해 잘 알게 되었삼	1.0
보던거라 계속보고있는데 전개도 느리고 주인공인 은희는 한두컷 나오면서 소극적인모습에 짜증이 ㅜㅜ 맨날 언제끝나나 기대만하고있어요 전개좀 빨리빨리 ㅜㅜ	0.0
기존의 매력에 화끈한 액션까지 즐길 수 있는 건 극장판만의 매력	1.0
남자주인공 목소리가 마음에 안들었던 점 빼고는 다 좋았다. 특히 마지막 장면은... 여운이 쉽게 가시지 않는다.	1.0
아 머냐 ㅡㅡ 셜록홈즈영화는걍보지마라추리에대한내용은 별로없고 걍액션영화에 불구할뿐이다	0.0
진짜 인생최악	0.0
평점장난이라고하는분들때문에봤다..보는내내 기분이불쾌해지는영화 시간때우기용도못함 고어영화라고쳐도 쓰레기	0.0
제대하고 보니까 더 재밌네요 ㅋㅋㅋㅋ	1.0
성공적이란 평이거든? 하여간 쥐뿔도 모르는 것들이 전문가 따라하긴..	1.0
개념없는 감독 ㅅㅋ .........엘지팬인거 같은데~ 똑바루 살아라	0.0
TV 로 봤는데 전기세 아까워	0.0
진리의 유동근	1.0
이런걸 보고 유식한 말로 데우스 엑스 마키나라고 한다.무슨일이 일어나도 이상하지 않은 영화.그게 이 영화의 궁극의 패착이다.아무것도 신기하지 않은게,신기한 점이랄까?보다보면,에라~될대로 되라...하고 진지하게 영화보기를 포기하는 지점이 반드시 생겨난다	0.0
총, 칼 없이도 가능한 전쟁..	1.0
스토킹을 잘하는 짓이라고 응원하는 쓰레기. 게다가 영화적으로도 최악.	0.0
본지 수OO이 지나도 아직도 생생함. 고양이 귀신의 복수가 진짜 무서웠지	1.0
이런 드라마 또 언제 나올까.... 무조건 만점	1.0
흑연비수, 합기도 어디서 볼수 있나요? 갈켜주세요.	1.0
어둠 속의 그레고리안 성가 완벽한 침묵이 내려앉은 수도원의 일상	1.0
정말 최고! 봐도봐도 재밌는 영화가있는데 이 영화가 바로 그런 영화입니다 :D	1.0
별로. 영화제에서는 가끔 중국버프라는게 있다.또한 뜬금없는 장면은 연출의 기본을 모르는 감독이라는걸 알려주고.	0.0
어차피 우승은 송민호~	0.0
케이블 채널에서 10번도 더 나온거 같다...	0.0
아 눈꺼플이 ㅠ.ㅠ 내려온다	0.0
유쾌하고 깔끔하다. 김조광수님 연출도 더욱 매끄러워진듯.	1.0
옥보단 3D보다 쓰레기	0.0
고현정씨가 출연하셨는데 이렇게 말아먹은거에는 감독이 문제가 있다고봅니다	0.0
왕조현을 가장 예쁘게 찍어놓은 영화	1.0
좀더스케일이커진영구.그이상도이하도아닌딱그만큼.영구특유의슬랩스틱은더이상통하지않는것같다.보는내내이영화를볼외국인들의반응이궁금하면서걱정되기도했음.나름대로스토리가짜여있지만,영구가여기에끼어있으니영몰입안됨;정신줄놓고그냥보려해도얼마못가서제정신을차리게되는안타까운영화.	0.0
아진짜너무좋아요ㅜㅜ짱짱!!!	1.0
진한 감동이 남는 영화,	1.0
넘치지도 덜하지도 않는다. 외면은 없다.	1.0
이 영화를 보면서 너무나 화가났다.......	1.0
수컷의 짝짓기 경쟁이 부른 파국이랄까. 나를 복제하는 걸 넘어 하나의 몸에 하나의 가족을 넣겠다니... 긴장을 쥐어짜내는 감독의 솜씨에 그저 감탄할뿐. 마지막에 인간 살이 벗겨지면서 파리가 되는 장면은 진정 압권.	1.0
기억상실증이라고 말하지 말아줘요 제ㅔㅔ발	0.0
이거 리얼하다는 새끼들은 피해망상 정신병자 새끼들이 틀림없음 니들인생이 그러니 이 영화가 현실처럼 느껴지지 ㅉㅉ 잠이나 자라	0.0
빅뱅 사랑한다	1.0
행복한 영화네요 .따듯하고 가족에 대한 사랑 좋으네요^^	1.0
이 흥행보증배우로 망한 영화.	0.0
어릴 때 케이블에서 봤는데 정말 감동적이었어요	1.0
무거우면서도 유쾌하게 인상깊은 영화입니다.전수진, 이은우 두 배우 연기가 대단합니다	1.0
평점이너무높다	0.0
ㅈㄴ 웃김 성룡 코미디 액션의 한계ㅎㅎ	1.0
아직 우리나라 영화의 진입장벽은 낮다. 이런영화가 개봉한걸 보면..	0.0
난강혜정이 일본가서 찍은건가 했네ㅋㅋ닮은것같다는 생각이 들었을 뿐이고...	0.0
보면서 은근히 내가 설레는적도 많았고 웃긴장면도 많앗곸ㅋㅋㅋㅋ	1.0
아. 진짜 재미없다	0.0
무책임한 OO기의 뒈지는 모습을 그린영화.. 이딴게 왜 영화화 됐지?	0.0
이 영화 정말 별루예요. 결말이 이상해요....	0.0
케이블에서 그만 좀 재탕해라.	0.0
황제펭귄 멋있다.	1.0
이지현의 육체에 뿅간 여균동..ㅋ	0.0
관람할 수 있는곳 없나요? ㅡㅡ;;	1.0
내가 영화보면서 처음 눈물 흘리고 본게 스파이더맨3다.나는 어메이징, 스파이더맨 다 좋다. 하지만 내가제일 감명 깊게 본건 스파이더맨 시리즈이면서스파이더맨3다. 할 말이 필요없다. 지금까지도계속 챙겨보고 있다. 이것만 100번은 넘게본거 같다	1.0
2프로 빼고 98프로가 부족한느낌	0.0
기억 속 추억의 영화. 적어도 나에겐...	1.0
영화'산업'이라고 하잖는가? 이딴식으로 홍보 해놓고 속여서 팔았다는 게 소비자 입장에서는 짜증난다. 그나마 다행은 아주 싸구려를 상급품으로 속여판 게 아니라는 점. 그래서 1점. 차라리 연상호 감독 작품 처럼 홍보가 됐다면, 그 비슷하게 만이라도 하지	0.0
천안함프로젝트 같은 불후의 명화는 3점도 안되는데 으리영화나 이딴영화는 10점에 가까운 뇌입원 진짜	0.0
천재라는 소재를 가지고 이렇게 풀어낼 수도 있구나.. 정말 일본답다. 색다르다. 예상하지 못했다... 처음부터 끝까지 숨죽이고 몰입하면서 봤다.. 굉장히 잘 만들었는데 왜 이렇게 평점이 낮아? 캐스팅도 좋고 연기력도 좋았다. 모든 게 완벽한데 왜..	1.0
이거 포스터는 현대인데 왜 영화는 사극인데?	0.0
뻔뻔하게 이런 영화를 흥행시키려 했단 말이지..	0.0
푸하하하 이거 기대 안했지만.. 역시나 구만..ㅋ	0.0
우리와 틀리다고 생각했던 장애인이 우리와 틀리지않단것을 알려주었다.10403	1.0
난 이거 되게 재밌네 ㅋㅋ	1.0
오랜만에 봤는데...편집, 대사, 연기...오글거리고...좀 안맞음;;;	0.0
별 기대 안하고 보긴 했는데 의외로 재밌게 잘 밨습니다	1.0
설리 94년생인데 93년도 영화에 어떻게 나오져?	1.0
어의없는 스토리.. 여자죽을때 웃음나옴.. 로맨스영화냐?	0.0
재난영화다운 위기는 다리무너지는것 밖에 생각이 안남- -이건무슨 악당이랑 지들끼리 싸우다 끝나네 이 영화 정체성이뭐야대체ㅡㅡ 2부작 드라마형식의 진도 10.5 가 훨씬나음평점에 낚여가지고 내 4000포인트 아놔.	0.0
어린이 영화라고 붙여넣기로 대충 얼버무리지 마라.	0.0
이적의 소설. 재미없다.	0.0
이게 21c영화냐? 90년도영화냐? 쓰래기들아	0.0
와진짜진짜재밌네 미쳐버리겠다	1.0
이해가 안되는 영화네.며칠이지나도 옷이 깨끗하고 현실감 zero.현실과 너무 안 맞는 주제.비추함 결말도 허무 그자체	0.0
백성현+최불암+차인표+전광렬씨 땜에 4점..안그러면0점.-_-	0.0
클레멘타인 7광구 그리고 r2b	0.0
캠프락,버레스크등 영향인가? 지루하고 잼없어..	0.0
하늘씨 좋아하긴 하지만 이건 별로..	0.0
그냥 낚인 영화였다. 10자	0.0
조여정이라는 배우 참 좋아 함.클라라가 뻥을 치건 말건 상관 없음.노출도 관심 없음.영화만 놓고 말 하겠습니다.연기를 잘 하는것도 아니고.시나리오가 좋은것도 아니고.웃긴것도 아니고.감동,전달력도 그닥. DVD보다 시간 아까워 껐네요.	0.0
영화 무서운게 아니고 징그러움.	0.0
이 시대 최고의 판타지 영화! 원작과 영화가 모두 훌륭하며, 10여 년 전 영화관에서 두어번씩 & dvd 일반판과 확장판을 또 두어번씩 & 호빗 개봉 후 또 두어번씩.. 몇 번을 보고 또 봐도 볼 때마다 흐뭇하고 새로운 걸작!	1.0
이거 진짜 재밌었는데... 평점 보구 깜~짝 놀람!	1.0
단연 최고의 영화....	1.0
한국코미디 영화는 이정도가 딱 마지노선이다. 이거랑 달마야놀자 두사부일체 주유소습격사건 정도? 재밋고 볼만하다	1.0
기자 평점은 걍 없앴으면 한다. 특별하지도 않은 한마디	1.0
이영화 보지마 .. 졸라재미없어;; ㅁㅊ	0.0
별로야..,,,,..	0.0
신나고 행복한 뒤뚱뒤뚱 해피 스텝.	1.0
난그냥아무생각없이봤는데재밌고감동도있었다 그냥볼만했는데ㅋ	1.0
이거 친구네 집에서 봤는데요. 이거 무서운게 아니라 슬퍼서 울 친구가 울었어요~	1.0
이승기가 나와서 봤지만 정말 재밌게 본 드라마입니다.	1.0
선택의 자유가 없는 곳을 선택해서 가는 죄인들.	0.0
아 이거 학교에서 선생님이 보여줬어 ㅡㅡ 아 진짜 OOO기엿음	0.0
나 일본영화 팬인데 미안하다 똥쿠소 였다	0.0
영화는 처음이 어떨지라도 가장 중요한건 끝맺음인데 확실히 처음은 밋밋했지만 끝맺음이 훌륭했다.	1.0
이영화는 현대사를 배경으로한 영화입니다.	0.0
개인적으로 다니엘데이루이스 작품중 연기는 단연돋보였다... 영화를 어루만지는 마틴 스콜세지의 역작	1.0
이 영화의 감독에게 존경의 찬사를 보낸다.	1.0
뉴노틸러스호가 공중전함 격침시킬때의 그 통쾌함 아직도 생생하다	1.0
이은주 보고싶다... 연애소설은 복선이 많아서 계속보게돼...	1.0
진짜 재미있어요! 실망시키지도않고 도라에몽극장판은 처음보는데 이건 진짜 재미있어요!	1.0
난 그게 짜증나는거야. 왜 주인공은 총알 한방도안맞고 다 죽이냐고. 공감이안돼 공감이.. 왜 다 주인공앞에서 파김치처럼 쓰러지냐고 ㅋㅋㅋ백악관도 뚫은놈들이	0.0
빨노파 형님들.... 최고!	1.0
영화내공 향상을 위해 이를 악물고.. 감내해야할 성장통	0.0
2005년이면 좋은 영화 많이 나올 때인데... 요런 OOO가~~~ ㅋㅋㅋ	0.0
몰입감 최고ㅋㅋ 조니에게 빙의되서 봤다 ㅋㅋㅋㅋ	1.0
별로다.	0.0
정말 재미없었던 드라마	0.0
트레져헌터영화라이만 이건 아니잖아!	0.0
차라리 제목만 드래곤볼이라 하고 새로운 이야기로 해서 새로운 캐릭터를 만들지...-_ -;;...	0.0
결국 잠들었어요. 스토리가 늘어지고,지루하고...아이들도 끝나기만을 기다렸다는..	0.0
뻔한스토리뻔한플롯평점왜이리높아..결정적으로돈꾸고안갚는게잘못이지추심원이뭔죄냐	0.0
너무 난해하다	0.0
재미쩡!!!! 1기함축편인데 전 재밋게봐서 이것두재밋엇움	1.0
로버트 패틴슨을 다시보게된 영화. 내면연기를 너무 훌륭히 소화해냈다.	1.0
신기하다 워크투리멤버 작가가 노트북도 만든사람이엿구나 내인생 최악의 영화와 최고의영화 두개를 만들다니.. 신기ㅋ	0.0
월요커플 짱짱!! 덕분에 아주 재미있게 보고 있습니당!!	1.0
부패한 로마노프 왕조를 기리는 뭣같은 영화... 온몸으로 항거했던 러시아 민중들이 그저 폭도냐	0.0
음악밖에 기억안나....띠~띠디띠....	0.0
볼만합니다 강추!!ㅋㅋ	1.0
역대급 명작 말이필요없다 이런 학창시절 보내고 싶다	1.0
4편까지 만들어서 망신 당하는 꼴은 안 봤으면.	0.0
아나	0.0
나도 OST가 넘 좋더라. 그 나이에, 그 상황에 겪을 법한 갈등을 잘 그린 영화.	1.0
오랜만에 TV에서 다시 봤는데.. 스타들의 옛모습이 좋았음	1.0
많이 지루함 ㅇㅇ 그러함...	0.0
아~ 진짜 조금만 더 손 좀 보면 왠만한 상업 영화 못지 않게 퀄리티 쩔게 만들어 질 수 있었는데 아쉽네요 그래도 충분히 재미있었습니다 개인적으로 조금만 더 잔인하게 더 자극적으로 노출씬도 화끈하게 했더라면 어땠을까 하는 국산영화라 많이 아낀 듯 보임	1.0
자본주의 비판부터 미친가부장가OO지 있을 건 다있다	1.0
내 인생에서 극장가서 본 영화 중 최악의 영화	0.0
와완전 감동 영화	1.0
탕웨이찡 그녀 만으로도 10점주기에 충분하다!!	1.0
시대를 앞서간건 인정하나 펀집이나 내용상 흐름이 엉성한게 너무 안타깝다지요!!	1.0
도자기 배우러 도쿄에 가는 줄거리 자체가 사람빡치게 하네	0.0
13년전 영활 다시보니 공효진 코평수줄이고 콧대높였네...완전 못생겼어 ㅎㅎ호 권상우는 화산고때 왼쪽 팔자 심하더니 지금 사라지고 더 잘생겨졌고 장혁은 멋지게 늙었네. ㅋㅋㅋ다시보니 웃겨	1.0
진부한 재난영화	0.0
나쁘지 않으나 개인적으로는 지루했다는.	0.0
누구나 결국엔 운다..아버지를 생각하면.	1.0
1심재판했던 판사가 2심재판 어떻게하냐 ㅡㅡ 쌍둥이판사냐?억지감동줄라고 애쓴거 보는내내 안타깝더라...그리고 합의는 1심판결선고시까지다 2심들어가면 합의해도 처벌받는다.영화작가 법공부좀더해라...	0.0
출연진과 제주도 풍경이 아깝다.	0.0
쫌 웃겼다	1.0
선교를 꿈꾸는 한 사람으로 많은 도전이 되었습니다 주님의 축복이 언제나 함께하기를	1.0
너무 유치해서 웃음만 나올뿐...	0.0
순수함이 두근거려 좋았다 감독님은 관객들이 뭘원하는지 잘아는듯..여운이 많이 남는다	1.0
엿. 더 이상의 자세한 설명은 생략한다.	0.0
정말 사랑에 대해 다시생각한거같습니다 감동이에요	0.0
전개 억지스럽고 연출도 조금 산만한듯 소품들도 좀 어색합니다 비행기씬은 어쩔수없다지만..	0.0
하드디스크 공간이 아깝다	0.0
굳굳 평론가들이 영화 보는 눈이 쓰레기네	1.0
잼없다 예전의 람보나 록키가 그립다	0.0
엄청 예전에 본 영화인데 아직까지 잊지 못하는 수작 !!!!	1.0
제일 실망스런 일본 영화	0.0
허세에 오글거림까지 로맨스도 어느정도지 보기싫을 정도야 김작가 그나마 별 3개는 장동건 드라마 복귀작 이라서 주는거임	0.0
나름 영화/이드 매니아로서 이렇게 무명배우만 나오는 영화는 첨 봄	0.0
4개 드립니다 ㅋㅋ 게임으로 하다가 애도 있다기에 기대감을 가지고 돈주고 다운받아 보는대 게임의 발끝도 못 따라가내ㅋ 그리고 뭐 소환할때 자새가 보는사람이 쪽팔려서 고개 돌리게 하는애니 처음봄	0.0
지독한 풍자안에 묻어나는 유쾌한웃음, 그의 영화문법에 무한한감동을 받다.	1.0
감히국내최고라고 말할수있는영화.사사로운사건플롯을 흥미진진하게구성/섬세한연출력	1.0
답 안 나오는 영웅 서사시.	0.0
효과음과 영상은 기존의 전쟁 액션물 중 최고	1.0
2006년도 영화가 1986년도 영화 느낌이 난다. ㅋ	0.0
이건 심했다	0.0
설정만 그럴듯하고, 개연성과 플롯은 나몰라라~.	0.0
킬링타임용 가치도 없군	0.0
갑이다	1.0
알콜에 의존하는 주인공..결국 물건들이 팔리듯 자신의 마음을 버리는걸까..	1.0
0점은 없나??	0.0
